144: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10478, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 80 })
145: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10391, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 78 })
148: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10215, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 79 })
149: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10388, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 74 })
150: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10203, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 78 })
151: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10399, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 74 })
152: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10245, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 78 })
153: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10060, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 78 })
154: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10017, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 74 })
156: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10265, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 78 })
158: Ok(Reset { src_mac: [170, 187, 204, 221, 238, 1], dst_mac: [170, 187, 204, 221, 238, 2], ips: V4 { src: Address([10, 0, 0, 1]), dst: Address([10, 0, 0, 2]) }, ipid: Some(1), src_port: 10155, dst_port: 80, seq: SeqNumber(1000), ack: SeqNumber(1), is_ack: true, payload_len: 80 })
